id,street_id,activity,task_description,status,street,start_year,stop_date_actual,route_ahead,route_back
331881650,12016,"AC Overlay - 2""",,Completed,CHARTIERS AVE,2013,2013-08-23,MERLE ST,WARFLE ST
1638860762,3930,Mill & Overlay 3 or More,,Completed,LINCOLN AVE,2012,2012-05-11,TENNIS ST,ATWELL ST
1771038196,7477,Mill & Overlay 3 or More,,Completed,STRAUBS LN,2010,2010-10-19,NIGGEL ST,SUNDEMAN ST
39274437,16456,Mill & Overlay 3 or More,,Completed,BAYARD ST,2014,2014-06-05,COVENTRY RD,DEVONSHIRE ST
1800994553,16293,AC Overlay 3 or more,,Completed,CANNON ST,2011,2011-10-10,DEAD END,TARNER ST
581022200,4147,Mill & Overlay 3 or More,,Completed,LINCOLN AVE,2012,2012-05-11,LOIRE WAY,MANNING ST
1885207310,3940,"AC Overlay - 2""",,Completed,ROSTOCK ST,2014,2014-09-01,VALETTE ST,RADNER ST
381997051,8181,"AC Overlay - 2""",,Completed,PERRYSVILLE AVE,2012,2012-05-16,CLAYTON AVE,WILSON AVE
865650291,15219,Mill & Overlay 3 or More,,Completed,STAYTON ST,2012,2012-05-23,INGHAM ST,MARSHALL AVE
313004757,3959,Mill & Overlay 3 or More,,Completed,HANDLER ST,2010,2010-09-13,MARY ST,HARCUM WAY
1461593751,11743,Mill & Overlay 3 or More,,Completed,CATO ST,2010,2010-08-10,JULIET ST,GORMAN WAY
1535336771,13321,Mill & Overlay 3 or More,,Completed,E ELIZABETH ST,2013,2013-06-18,GERTRUDE ST,SECOND AVE
1315272244,1889,Mill & Overlay 3 or More,,Completed,LENORA ST,2009,2009-10-19,ORPHAN ST,JOSEPH ST
671670690,3047,Mill & Overlay 3 or More,,Completed,TARNER ST,2011,2011-08-18,WEDDLE WAY,CANNON ST
536705019,14602,Mill & Overlay 3 or More,,Completed,MANSION ST,2013,2013-06-12,GATE LODGE WAY,SECOND AVE
301398501,17162,Mill & Overlay 3 or More,,Completed,ELLA ST,2014,2014-06-13,GANGWISH ST,ROSINA WAY
737576732,5664,Mill & Overlay 3 or More,,Completed,MAIRDALE AVE,2013,2013-11-15,WOODS RUN AVE,WISSAHICKON RD
849211209,16491,AC Overlay 3 or more,,Completed,MARDO WAY,2011,2011-10-10,BALFOUR ST,ATTICA ST
910178991,11729,Mill & Overlay 3 or More,,Completed,SUNRISE AVE,2013,2013-10-15,CHAINMAN WAY,FAIRLAWN ST
